publishedAt,title,url,hadAce,winnerName,includeInBounty,category,dayName,access,importStatus,importNotes
2026-08-13T21:00:00.000Z,Do Hype Discs Actually Fly Better? | Disc Golf Challenge,https://www.youtube.com/watch?v=HyGsCg1794k,false,,true,Disc Golf Challenge,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-08-12T21:00:00.000Z,Gannon Buhr Told Us To Play This SNEAKY HARD Course in Iowa,https://www.youtube.com/watch?v=UPDQo9Bi66A,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-08-11T21:00:00.000Z,We All Turn On Each Other With Our Bags On The Line?! | Disc Golf Triples Challenge,https://www.youtube.com/watch?v=KQcx9qZCf5w,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-08-06T21:00:00.000Z,Is This The LAST Break 69?! | Disc Golf Challenge,https://www.youtube.com/watch?v=FNupkhS9gVs,false,,true,Disc Golf Challenge,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-08-05T21:00:00.000Z,The Most Underrated Course in Virginia?! | Disc Golf Monthly Match,https://www.youtube.com/watch?v=h_EW92zERcE,false,,true,Monthly Match,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-08-04T21:00:00.000Z,Flippy Discs SHOWDOWN with Broderic and Flippy James,https://www.youtube.com/watch?v=1Dpt_EGRnEw,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-30T21:00:00.000Z,We Have to Throw A Faster Disc EVERY TIME?! | Disc Golf Chaos,https://www.youtube.com/watch?v=DS2Uwa5A2Ro,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-29T21:00:00.000Z,Can 20 Year Old Gyro Beat New MVP Plastic?!,https://www.youtube.com/watch?v=gLvomqLpEwE,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-28T21:00:00.000Z,The Final Hole Decides EVERYTHING | Disc Golf Horse,https://www.youtube.com/watch?v=26RU9fsPzxI,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-23T21:00:00.000Z,We Can't Leave Until Someone Birdies EVERY Hole?! | Disc Golf Challenge,https://www.youtube.com/watch?v=11UgROCNtYs,false,,true,Disc Golf Challenge,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-22T21:00:00.000Z,We Tried Imposter Disc Golf Using Only Weird Discs,https://www.youtube.com/watch?v=evOHBFpTlv0,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-21T21:00:00.000Z,This Was a BAD Idea... | Disc Golf Donut Challenge,https://www.youtube.com/watch?v=n3WcLxf2jj4,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-16T21:00:00.000Z,Everyone Warned us This Course Was Harder than New London... THEY WERE RIGHT,https://www.youtube.com/watch?v=XxG7rlTxluw,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-15T21:00:00.000Z,Throw a Bad Shot and GET SLAPPED?! | Disc Golf Challenge,https://www.youtube.com/watch?v=AICLamChO1o,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-14T21:00:00.000Z,We Can't Leave Until ALL of Us Ace?! | INSANE Disc Golf Challenge,https://www.youtube.com/watch?v=21qNkP-qajs,false,,true,Disc Golf Challenge,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-09T21:00:00.000Z,$5 vs $500 Budget Disc Golf Bag Building Challenge!,https://www.youtube.com/watch?v=vamLSaRqVfI,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-08T21:00:00.000Z,Lose the Tee. Lose Money | Disc Golf Challenge,https://www.youtube.com/watch?v=r1dOSe_75jc,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-07T21:00:00.000Z,Crazy 3 VS 1 Disc Golf Format! | The Pressure Cooker,https://www.youtube.com/watch?v=BzDTYNOUpJU,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-02T21:00:00.000Z,The Battle for Who Can Suck at Disc Golf the Least | Monthly Match,https://www.youtube.com/watch?v=nr2qEOE6oxk,false,,true,Monthly Match,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-07-01T21:00:00.000Z,We Built Disc Golf Bags for Each Other Out of the Used Bin,https://www.youtube.com/watch?v=GfkAYcUCw0w,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-30T21:00:00.000Z,Can We Beat Our Highest Rated Employee? | Disc Golf Challenge,https://www.youtube.com/watch?v=PEl3NfdNuLk,false,,true,Disc Golf Challenge,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-25T21:00:00.000Z,Can Tyler Take Down Trevor Head to Head? | Disc Golf Match,https://www.youtube.com/watch?v=poMMRC3MaH4,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-24T21:00:00.000Z,Can Hunter Capitalize on His Best Throws Yet?! | Break 69 Disc Golf Challenge,https://www.youtube.com/watch?v=-dXkx0Gb6hc,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-23T21:00:00.000Z,His ENTIRE Disc Golf Bag is Rubber Discs?!,https://www.youtube.com/watch?v=gh1XrFe-CLw,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-18T21:00:00.000Z,We Built Disc Golf Bags from Underrated Discs?!,https://www.youtube.com/watch?v=mSx2yzKEIHk,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-17T21:00:00.000Z,"Pick the Wrong Disc, Get Punished! | Disc Golf Challenge",https://www.youtube.com/watch?v=QH6jVIRaE3U,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-16T21:00:00.000Z,We Made Our Bags Out Of Only ILLEGAL Disc Golf Discs,https://www.youtube.com/watch?v=rQ76v_ofET4,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-11T21:00:00.000Z,The Disc Golf Amazing Race | Charlotte Edition,https://www.youtube.com/watch?v=glEgdVv7E2A,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-10T21:00:00.000Z,Can Our Editors Beat The Warehouse?! | Disc Golf Doubles Battle,https://www.youtube.com/watch?v=mxAq0Lt8erY,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-09T21:00:00.000Z,Trevor Slowly Loses His Mind But Hunter Can't Capitalize?! | Disc Golf Match,https://www.youtube.com/watch?v=UUshXNOuxms,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-04T21:00:00.000Z,Can Hunter Beat All of Foundation Disc Golf?,https://www.youtube.com/watch?v=DUuLwjm_zO0,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-03T21:00:00.000Z,We Rolled Dice to Decide the Par on Every Hole?! | Disc Golf Challenge,https://www.youtube.com/watch?v=hRIhBKQ3X5s,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-06-02T21:00:00.000Z,We Can't Leave Until We Birdie EVERY HOLE at New London? | Mulligan Challenge,https://www.youtube.com/watch?v=V2QUuCG-nGc,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-28T21:00:00.000Z,Nerf Made a Disc Golf Starter Set?! | DIsc Golf Starter Set Challenge,https://www.youtube.com/watch?v=KmYasjjFULo,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-27T21:00:00.000Z,Nobody Thought Hunter Could Play THIS GOOD | Disc Golf Break 69,https://www.youtube.com/watch?v=5uiCirmJvbw,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-26T21:00:00.000Z,Can the Bogey Bros Beat the Editors if They Start at 7 Under?! | Disc Golf Challenge,https://www.youtube.com/watch?v=GFyDBSpVcLA,false,,true,Disc Golf Challenge,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-21T21:00:00.000Z,Can We Shoot the Course Record at Konner's Home Course?!,https://www.youtube.com/watch?v=yfhG30bgs20,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-20T21:00:00.000Z,Disc Golf But We Flip The Disc to See Which Shot We Take,https://www.youtube.com/watch?v=fm2Cyr9UUy0,false,,true,,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-19T21:00:00.000Z,Can We FINALLY Break Paul McBeth's 101 Hole Bogey Free Record?!,https://www.youtube.com/watch?v=kCWc7IO5x8I,false,,true,,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-14T21:00:00.000Z,"Win and Take Home $8,000! | Dynamic Discs Creator Cup Final",https://www.youtube.com/watch?v=YpmtZe4G8qc,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-13T21:00:00.000Z,Our First Time Back to the Site of Hunter's First Pro Win?! | Disc Golf Monthly Match,https://www.youtube.com/watch?v=v1Qq0y8nQtE,false,,true,Monthly Match,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-12T21:00:00.000Z,Can Our Editor Break 63 for an ALL EXPENSES PAID Vacation?! | Disc Golf Challenge,https://www.youtube.com/watch?v=4_AiwCFR1fc,false,,true,Disc Golf Challenge,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-07T21:00:00.000Z,Back and Forth Battle Turns into ALL OUT BEEF | Disc Golf Creator Cup Ep. 3,https://www.youtube.com/watch?v=6RHqhYzKXf0,false,,true,,Thursday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-06T21:00:00.000Z,We Have to Birdie With Every Disc Speed?! | Disc Golf Challenge,https://www.youtube.com/watch?v=JG101pP1UGU,false,,true,Disc Golf Challenge,Wednesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
2026-05-05T21:00:00.000Z,We Battled Using our Followers Disc Golf Bags?! | Disc Golf Challenge,https://www.youtube.com/watch?v=g5GbxUBFIqg,false,,true,Disc Golf Challenge,Tuesday,Public,ready_for_import,hadAce defaulted to false; update manually later if this video includes an ace.
